Team,Games,G,GA,xG,xGA,NPxG,NPxGA
Arsenal,8,19,10,200,200,10.41,10.95
Bournemouth,8,200,12,200,200,12.27,7.73
Brighton,8,9,13,200,200,6.44,12.43
Burnley,8,10,12,200,200,7.69,13.35
Cardiff,8,4,17,200,200,7.44,11.4
Chelsea,8,18,5,200,200,13.44,8.59
Crystal Palace,8,5,9,200,200,7.02,9.28
Everton,8,13,12,200,200,8.76,9.0
Fulham,8,9,21,200,200,9.41,15.71
Huddersfield,8,4,17,200,200,4.75,11.74
Leicester,8,14,12,200,200,7.62,7.05
Liverpool,8,15,3,200,200,15.9,5.14
Manchester City,8,21,3,200,200,21.72,4.0
Manchester United,8,13,14,200,200,10.54,10.22
Newcastle,8,6,13,200,200,5.22,11.34
Southampton,8,6,14,200,200,9.09,13.26
Tottenham,8,15,7,200,200,13.27,9.66
Watford,8,11,12,200,200,10.55,10.25
West Ham,8,8,13,200,200,7.97,13.32
Wolverhampton Wanderers,8,9,6,200,200,11.06,6.15
